C:\Users\USER>ssh ngansen@192.168.86.36 "docker compose -f ~/hanryx-vault-pos/pi-setup/docker-compose.yml logs --tail=80 pos"
ngansen@192.168.86.36's password:
pos-1  | 192.168.86.22 - - [18/Apr/2026:01:00:30 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
pos-1  | 192.168.86.22 - - [18/Apr/2026:01:00:34 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:35 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 127.0.0.1 - - [18/Apr/2026:01:00:35 +0000] "GET /health HTTP/1.1" 200 236 "-" "curl/7.88.1"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:37 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:38 +0000] "GET /health HTTP/1.1" 200 236 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:38 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:39 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:40 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:41 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:42 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:43 +0000] "GET /health HTTP/1.1" 200 236 "http://192.168.86.36:8080/admin/kiosk?saved=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:43 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:44 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:46 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:47 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:48 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:49 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:50 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 127.0.0.1 - - [18/Apr/2026:01:00:50 +0000] "GET /health HTTP/1.1" 200 236 "-" "curl/7.88.1"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:51 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:52 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 172.18.0.1 - - [18/Apr/2026:01:00:52 +0000] "GET /health HTTP/1.1" 200 236 "http://localhost:8080/admin" "Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:53 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:54 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:55 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.22 - - [18/Apr/2026:01:00:56 +0000] "GET /admin/kiosk-settings HTTP/1.1" 404 322 "-" "curl/8.14.1"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:56 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:57 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:58 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:00:59 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:01:00 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.22 - - [18/Apr/2026:01:01:01 +0000] "GET /kiosk/stream HTTP/1.1" 200 355 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:01:01 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:01:02 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.22 - - [18/Apr/2026:01:01:03 +0000] "GET /health HTTP/1.1" 200 236 "-" "curl/8.14.1"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:01:03 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:01:04 +0000] "GET /health HTTP/1.1" 200 236 "http://192.168.86.36:8080/admin/kiosk?saved=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:01:04 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:01:05 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 127.0.0.1 - - [18/Apr/2026:01:01:05 +0000] "GET /health HTTP/1.1" 200 236 "-" "curl/7.88.1"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:01:06 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:01:07 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:01:07 +0000] "GET /health HTTP/1.1" 200 236 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:01:08 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:01:08 +0000] "GET /health HTTP/1.1" 200 236 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:01:09 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:01:10 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:01:12 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 172.18.0.1 - - [18/Apr/2026:01:01:12 +0000] "GET /health HTTP/1.1" 200 236 "http://localhost:8080/admin" "Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:01:13 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:01:14 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:01:15 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:01:16 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:01:17 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:01:18 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.22 - - [18/Apr/2026:01:01:18 +0000] "POST /satellite/heartbeat HTTP/1.1" 500 50 "-" "curl/8.14.1"
pos-1  | 192.168.86.22 - - [18/Apr/2026:01:01:18 +0000] "POST /satellite/heartbeat HTTP/1.1" 500 50 "-" "curl/8.14.1"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:01:19 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:01:20 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 127.0.0.1 - - [18/Apr/2026:01:01:20 +0000] "GET /health HTTP/1.1" 200 236 "-" "curl/7.88.1"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:01:21 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:01:22 +0000] "GET /kiosk/state.json HTTP/1.1" 200 312 "http://192.168.86.36:8080/kiosk" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 192.168.86.250 - - [18/Apr/2026:01:01:25 +0000] "GET /health HTTP/1.1" 200 236 "http://192.168.86.36:8080/admin/kiosk?saved=1" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:149.0) Gecko/20100101 Firefox/149.0"
pos-1  | 172.18.0.1 - - [18/Apr/2026:01:01:32 +0000] "GET /health HTTP/1.1" 200 236 "http://localhost:8080/admin" "Mozilla/5.0 (X11; CrOS x86_64 14541.0.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/147.0.0.0 Safari/537.36"
pos-1  | 192.168.86.22 - - [18/Apr/2026:01:01:33 +0000] "GET /health HTTP/1.1" 200 236 "-" "curl/8.14.1"
